MSA,msa.or.nonMSA,theme1,theme2,theme3,theme4,theme5,theme6,theme7,Total_population,n_counties,FIPS,ccvi
"Ann Arbor, MI",msa,0.1162790698,0.6348837209,0.05813953488,0.1372093023,0.3604651163,0.1093023256,0.8744186047,365961,1,11460,0.1534883721
"Anniston-Oxford, AL",msa,0.8860465116,0.4558139535,0.8162790698,0.911627907,0.8186046512,0.9674418605,0.5186046512,115098,1,11500,0.9813953488
"Appleton, WI",msa,0,0.2093023256,0.01627906977,0.1604651163,0.1302325581,0.9372093023,0.6279069767,234561,2,11540,0.1186046512
ARIZONA (excluding all MSAs),nonMSA,0.9418604651,0.8906976744,0.9581395349,0.7302325581,0.8651162791,0.1465116279,0.009302325581,348295,7,NA,0.8255813953
ARKANSAS (excluding all MSAs),nonMSA,0.623255814,0.2069767442,0.8046511628,0.9,0.5255813953,0.4023255814,0.07209302326,1119286,54,NA,0.4720930233
"Asheville, NC",msa,0.3488372093,0.3906976744,0.188372093,0.8186046512,0.6930232558,0.8046511628,0.6325581395,449937,4,11700,0.5697674419
"Athens-Clarke County, GA",msa,0.7511627907,0.7162790698,0.3186046512,0.3279069767,0.9325581395,0.3465116279,0.676744186,205303,4,12020,0.676744186
"Atlanta-Sandy Springs-Alpharetta, GA",msa,0.6860465116,0.811627907,0.2976744186,0.3395348837,0.9488372093,0.2465116279,0.9488372093,5779463,29,12060,0.7581395349
"Atlantic City-Hammonton, NJ",msa,0.9,0.9,0.7720930233,0.4953488372,0.4744186047,0.4604651163,0.8511627907,268539,1,12100,0.9093023256
"Auburn-Opelika, AL",msa,0.5511627907,0.6069767442,0.7162790698,0.2744186047,0.9674418605,0.3860465116,0.6604651163,159287,1,12220,0.7046511628
"Augusta-Richmond County, GA-SC",msa,0.7837209302,0.6651162791,0.6348837209,0.6255813953,0.7046511628,0.4418604651,0.5697674419,594300,7,12260,0.788372093
"Austin-Round Rock-Georgetown, TX",msa,0.5534883721,0.8930232558,0.1813953488,0.1534883721,0.7488372093,0.2976744186,0.8860465116,2058351,5,12420,0.523255814
"Bakersfield, CA",msa,0.976744186,0.9627906977,0.9534883721,0.06279069767,0.9813953488,0.1069767442,0.3023255814,883053,1,12540,0.7790697674
"Baltimore-Columbia-Towson, MD",msa,0.2348837209,0.7255813953,0.2186046512,0.5069767442,0.07441860465,0.1511627907,0.9627906977,2793250,7,12580,0.2953488372
"Bangor, ME",msa,0.4093023256,0.009302325581,0.8302325581,0.5279069767,0.03023255814,0.1930232558,0.09534883721,151748,1,12620,0.123255814
"Barnstable Town, MA",msa,0.02093023256,0.1604651163,0,0.8302325581,0.06976744186,0.07441860465,0.8930232558,213690,1,12700,0.1093023256
"Baton Rouge, LA",msa,0.7348837209,0.6186046512,0.7511627907,0.7511627907,0.4837209302,0.1186046512,0.6558139535,852356,10,12940,0.6906976744
"Battle Creek, MI",msa,0.3697674419,0.4209302326,0.8279069767,0.7139534884,0.323255814,0.8,0.523255814,134473,1,12980,0.623255814
"Bay City, MI",msa,0.4069767442,0.0511627907,0.3093023256,0.8023255814,0.3325581395,0.4302325581,0.6046511628,104786,1,13020,0.3139534884
"Beaumont-Port Arthur, TX",msa,0.8744186047,0.6790697674,0.9023255814,0.6906976744,0.776744186,0.8604651163,0.5418604651,395636,3,13140,0.976744186
"Beckley, WV",msa,0.6953488372,0.08372093023,0.888372093,0.9837209302,0.01395348837,0.1372093023,0.2627906977,120358,2,13220,0.3511627907
"Bellingham, WA",msa,0.4,0.5441860465,0.311627907,0.1511627907,0.6604651163,0.3651162791,0.288372093,216812,1,13380,0.2651162791
"Bend, OR",msa,0.2302325581,0.2488372093,0.006976744186,0.4627906977,0.2093023256,0.05581395349,0.1465116279,180640,1,13460,0.01395348837
"Billings, MT",msa,0.08837209302,0.06511627907,0.4395348837,0.3534883721,0.03488372093,0.3348837209,0.1139534884,177772,3,13740,0.02558139535
"Binghamton, NY",msa,0.3279069767,0.2372093023,0.5093023256,0.5860465116,0.6372093023,0.776744186,0.5558139535,243447,2,13780,0.5046511628
"Birmingham-Hoover, AL",msa,0.6465116279,0.6162790698,0.5511627907,0.7813953488,0.8023255814,0.5488372093,0.6953488372,1082561,6,13820,0.8604651163
"Bismarck, ND",msa,0.01627906977,0.09069767442,0.2720930233,0.2906976744,0.1209302326,0.388372093,0.09302325581,126118,3,13900,0.006976744186
"Blacksburg-Christiansburg, VA",msa,0.4023255814,0.1697674419,0.1627906977,0.2511627907,0.7465116279,0.1860465116,0.4651162791,166675,4,13980,0.1720930233
"Bloomington, IL",msa,0.0511627907,0.3372093023,0.09534883721,0.1186046512,0.8953488372,0.09534883721,0.4069767442,173219,1,14010,0.1
"Bloomington, IN",msa,0.6162790698,0.2395348837,0.2348837209,0.2558139535,0.5186046512,0.1976744186,0.6139534884,166281,2,14020,0.2511627907
"Bloomsburg-Berwick, PA",msa,0.09069767442,0.04651162791,0.1302325581,0.4348837209,0.1581395349,0.4558139535,0.3674418605,84514,2,14100,0.04651162791
"Boise City, ID",msa,0.2860465116,0.4860465116,0.1069767442,0.06744186047,0.2627906977,0.3093023256,0.688372093,693952,5,14260,0.1418604651
"Boston-Cambridge-Newton, MA-NH",msa,0.1418604651,0.7348837209,0.1720930233,0.2930232558,0.2186046512,0.1325581395,0.9837209302,4811732,7,14460,0.2511627907
"Boulder, CO",msa,0.1209302326,0.6,0.02093023256,0.01162790698,0.2860465116,0.7093023256,0.8255813953,321030,1,14500,0.2139534884
"Bowling Green, KY",msa,0.4953488372,0.4279069767,0.8325581395,0.8,0.3953488372,0.7325581395,0.3348837209,172088,4,14540,0.6418604651
"Bremerton-Silverdale-Port Orchard, WA",msa,0.07906976744,0.2511627907,0.2581395349,0.2139534884,0.5046511628,0.5697674419,0.9279069767,262475,1,14740,0.2813953488
"Bridgeport-Stamford-Norwalk, CT",msa,0.5720930233,0.8604651163,0.2953488372,0.3348837209,0.06279069767,0.02093023256,0.9860465116,944348,1,14860,0.3674418605
"Brownsville-Harlingen, TX",msa,0.9976744186,0.9930232558,0.9511627907,0.5255813953,0.8,0.08604651163,0.8465116279,421750,1,15180,0.9604651163
"Brunswick, GA",msa,0.9302325581,0.476744186,0.6534883721,0.7162790698,0.8279069767,0.4255813953,0.2790697674,116655,3,15260,0.7720930233
"Buffalo-Cheektowaga, NY",msa,0.1534883721,0.5069767442,0.3325581395,0.5837209302,0.5697674419,0.7627906977,0.9348837209,1131570,2,15380,0.5627906977
"Burlington, NC",msa,0.7860465116,0.8139534884,0.723255814,0.6860465116,0.988372093,0.9,0.7813953488,160576,1,15500,0.9930232558
